School,Division,Coach URL,Roster Window,Score,Coach Name,Coach Email,Date Contacted,Response Status,Notes
Rockhurst University,D2,https://rockhursthawks.com/sports/mens-soccer/coaches,HIGH,136.0,,,,,
University of Saint Mary,NAIA,https://gospires.com/sports/mens-soccer/coaches,HIGH,113.0,,,,,
University of San Diego,D1,https://usdtoreros.com/sports/msoc/coaches,HIGH,110.0,,,,,
Southwest Baptist,D2,https://www.sbubearcats.com/sports/msoc/coaches,HIGH,99.0,,,,,
William Jewell College,NAIA,https://jewellcardinals.com/sports/msoc/coaches,HIGH,99.0,,,,,
Maryville University,D2,https://maryvillesaints.com/sports/mens-soccer/coaches,HIGH,98.0,,,,,
Southeastern University,NAIA,https://fire.seu.edu/sports/msoc/coaches,HIGH,89.0,,,,,
Park University,NAIA,https://parkathletics.com/sports/mens-soccer/coaches,HIGH,84.0,,,,,
Point Loma Nazarene,D2,https://plnusealions.com/sports/msoc/coaches,HIGH,81.0,,,,,
MidAmerica Nazarene,NAIA,https://mnusports.com/sports/mens-soccer/coaches,HIGH,79.0,,,,,
Lynn University,D2,https://www.lynnfightingknights.com/sports/msoc/coaches,HIGH,78.0,,,,,
Evangel University,NAIA,https://www.evangelathletics.com/sports/mens-soccer/coaches,MEDIUM,76.0,,,,,
Cal State East Bay,D2,https://eastbaypioneers.com/sports/msoc/coaches,MEDIUM,70.0,,,,,
Florida Southern College,D2,https://fscmocs.com/sports/msoc/coaches,HIGH,66.0,,,,,
Drury University,D2,https://drurypanthers.com/sports/mens-soccer/coaches,HIGH,65.0,,,,,
Lindenwood University,D1,https://lindenwoodlions.com/sports/msoc/coaches,HIGH,62.0,,,,,
Univ. of South Florida,D1,https://gousfbulls.com/sports/msoc/coaches,HIGH,59.0,,,,,
Cal State San Marcos,D2,https://csusmcougars.com/sports/msoc/coaches,HIGH,47.0,,,,,
Eckerd College,D2,https://www.eckerdtritons.com/sports/mens-soccer/coaches,HIGH,47.0,,,,,
Truman State University,D2,https://trumanbulldogs.com/sports/msoc/coaches,HIGH,47.0,,,,,
Warner University,NAIA,https://warnerroyals.com/sports/msoc/coaches,HIGH,45.0,,,,,
San Jose State,D1,https://www.sjsuspartans.com/sports/mens-soccer/coaches,HIGH,43.5,,,,,
Missouri State University,D1,https://missouristatebears.com/sports/msoc/coaches,HIGH,42.0,,,,,
San Diego State,D1,https://www.goaztecs.com/sports/mens-soccer/coaches,HIGH,33.5,,,,,
Saint Leo University,D2,https://saintleolions.com/sports/msoc/coaches,HIGH,30.0,,,,,
UMKC,D1,https://www.kcroos.com/sports/msoc/coaches,HIGH,29.5,,,,,
Saint Louis University,D1,https://www.slubillikens.com/sports/msoc/coaches,MEDIUM,15.0,,,,,
Missouri Western State,D2,,,,,,,,
University of Tampa,D2,,,,,,,,
